"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555347609411","04/15/19  17:00:09.411   ","0.52","61.3","0.187","33.9","0.4","0.18","100","3.54","32.3","2.11","9.1","0.76","2.07","0.28","2.23","0","1.09","0.39","0.58","0","0.42","0.4","0","61.2","-13.1","-70.5","-122.3","61.2","-13.1","-70.5","-122.3","-173.5","119.9","3.1","0","-73.9","-8.7","22.3","45.4","49.5"
"1555347610191","04/15/19  17:00:10.191   ","0.52","61.4","0.186","33.9","0.3","0.179","100","3.87","32.14","1.49","8.84","0.6","2.19","0.35","2.57","0.48","1.11","0","0.73","0","0.59","0.46","0.36","61.3","-12.2","-70.4","-121.8","61.3","-12.2","-70.4","-121.8","-175.4","118.1","-1.2","-24.5","-65","-78.2","22.9","0","20.5"
"1555347611423","04/15/19  17:00:11.423   ","0.52","61.4","0.186","33.9","0.4","0.179","100","3.06","32.26","1.66","8.75","0.41","2.3","0.26","2.75","0.41","0.8","0","0.66","0","0.41","0","0.34","61.4","-3.1","-70.7","-122.4","61.4","-3.1","-70.7","-122.4","-175","130","-3.3","-52.8","-61.3","-76.1","16.8","107.5","23.2"
"1555347612256","04/15/19  17:00:12.256   ","0.52","61.3","0.184","34","0.4","0.178","100","3.24","32.39","1.51","9.03","0.38","2.39","0.25","2.31","0.32","1.03","0","0.96","0.29","0.28","0.23","0.4","61.4","-9.2","-70.6","-123.4","61.4","-9.2","-70.6","-123.4","-176","121.9","-2.2","-36.3","-61.1","-58.1","46.4","69.6","33.5"
"1555347613423","04/15/19  17:00:13.423   ","0.52","61.4","0.185","33.9","0.3","0.179","100","3.08","32.28","1.33","9.01","0.38","2.29","0.38","2.68","0.41","1.03","0.2","0.9","0","0.54","0.44","0","61.4","-14.3","-70.3","-126.7","61.4","-14.3","-70.3","-126.7","-175.2","122.6","3.4","-39.7","-66.7","-89.6","27.7","0","45"
"1555347614203","04/15/19  17:00:14.203   ","0.52","61.5","0.185","34","0.3","0.179","100","2.7","32.24","1.16","9.09","0.28","2.22","0.23","2.19","0.36","1.04","0.38","0.65","0.34","0.3","0.27","0.3","61.5","-11.8","-70.6","-113.1","61.5","-11.8","-70.6","-113.1","-173.3","134.2","4.4","-48.2","-62","-93.2","28","83.1","38.5"
"1555347615425","04/15/19  17:00:15.425   ","0.51","61.7","0.185","33.7","0.3","0.176","100","2.79","32.2","1.44","8.97","0.49","1.96","0.28","2.25","0.39","1.33","0","0.89","0","0.2","0","0.25","61.5","-11.2","-70.6","-123.2","61.5","-11.2","-70.6","-123.2","-173.9","141.5","-0.8","1.7","-67.2","0","23.8","93.9","37.8"
"1555347616205","04/15/19  17:00:16.205   ","0.51","61.5","0.185","33.6","0.3","0.176","100","2.94","31.86","1.32","8.64","0.48","2.3","0.48","2.35","0.33","1.1","0","0.84","0.31","0","0.2","0.42","61.4","-13.5","-71","-118.1","61.4","-13.5","-71","-118.1","-173.3","120.5","1.1","-43.2","-67.1","-58.4","21.9","0","24.8"
"1555347617598","04/15/19  17:00:17.598   ","0.52","61.4","0.185","33.8","0.3","0.177","100","2.83","32.11","1.25","8.74","0.31","2.45","0.34","2.55","0.38","0.89","0.24","0.63","0","0.42","0.34","0.3","61.4","-9.8","-71","-120.7","61.7","-17.5","-71.1","-137.6","-175.9","105.2","-1.7","0","-65.4","0","11.9","111","40.2"
"1555347618540","04/15/19  17:00:18.540   ","0.51","61.5","0.185","33.7","0.3","0.176","100","1.83","31.95","0.71","9.14","0.3","2.17","0","2.25","0","1.47","0.42","0.7","0","0.24","0","0.25","61.6","-12.3","-70.7","-124.3","61.6","-12.3","-70.7","-124.3","-173.6","155.8","12","-73.7","-63.7","0","28.3","40.9","30.5"
