"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555351833744","04/15/19  18:10:33.744   ","5.49","86","4.24","19.5","2.3","2.288","100","18.2","1.02","0.45","3.59","1.46","0.75","0.99","0.37","0","0","0.23","0","0","0","0","0.21","85.7","152.2","-49.4","124","86.8","87.8","-69.5","138.2","-7.9","9.3","2.7","-164.6","-122.2","-105.1","-150.4","-146.4","-122.6"
"1555351834821","04/15/19  18:10:34.821   ","5.59","86.2","4.297","20.3","2.1","2.199","100","19.29","2.61","0.93","3.4","2.1","1.3","0.79","0.86","0.29","0.24","0","0.34","0","0.26","0.2","0","85.7","28.6","-23.6","-98.1","86.7","-96.2","-85.8","-64","-11.7","174.6","41.4","-1.4","-144.9","94.6","0","89.5","-88.6"
"1555351835735","04/15/19  18:10:35.735   ","5.47","86.2","4.305","18.3","2.2","2.225","100","18.73","1.68","0.62","4.15","1.52","0.75","0.75","0","0.25","0.3","0.22","0","0","0","0","0","86.6","-26.9","-52.5","-65.7","87","-88.6","-83.3","-80.1","-12.2","-178.2","26.9","10.5","-132.7","93.5","0","0","-81.7"
"1555351836744","04/15/19  18:10:36.744   ","5.57","87.1","4.259","19.8","2.2","2.219","100","20.23","5.34","2.14","3.27","1.78","0.44","0.93","0.34","0","0.25","0","0.31","0.23","0","0","0","84.9","-147","-51.7","97.3","85.7","148.1","-49.6","122.7","5.1","40.7","53","-103.5","-73.9","-21.7","0","0","0"
"1555351837729","04/15/19  18:10:37.729   ","5.7","84.9","4.23","19.6","2.3","2.287","100","18.11","0.91","0.34","3.61","1.48","0.84","0.97","0.3","0","0.2","0.2","0","0","0","0","0.24","85.3","157.5","-46.8","122.7","85.3","157.5","-46.8","122.7","5.5","46.9","60.4","-94.2","-64.1","4.7","0","0","0"
"1555351839140","04/15/19  18:10:39.140   ","5.73","85","4.224","19.6","2.4","2.323","100","18.56","1.37","0.84","3.55","1.42","0.51","0.9","0.35","0","0","0.21","0","0","0","0","0.2","86.4","77.5","-62.2","141.3","85.5","10.7","-35.4","-71.8","-7.3","-92.3","0","130.5","29.3","0","152","0","0"
"1555351840760","04/15/19  18:10:40.760   ","5.57","87","4.249","19.2","2.2","2.212","100","19.65","5.35","1.43","2.88","2.39","0.95","0.95","0.46","0.26","0.22","0","0.49","0","0","0","0.27","85.1","-126","-89.9","0","85.1","167.6","-42.9","123.9","5.7","56.9","67.7","-87.9","-48.4","11.4","0","0","0"
"1555351842744","04/15/19  18:10:42.744   ","5.71","85.2","4.196","19.9","2.4","2.298","100","18.65","1.8","1.07","3.47","1.38","0.4","0.82","0.44","0","0","0","0","0","0","0","0","86.1","70.5","-54.7","159.7","85.6","4.3","-38.8","-67.6","-3.7","-105.4","0","122.1","28.7","0","138.7","0","0"
"1555351843564","04/15/19  18:10:43.564   ","5.53","86.3","4.211","19.7","2.4","2.308","100","18.27","0.99","0.4","3.63","1.48","0.8","0.98","0.36","0","0","0","0","0","0","0","0.23","85.4","151.5","-49.9","126","86.3","87.5","-70.4","143.4","-7.4","8.2","-0.4","-161.7","-122.6","-111.6","-160.4","0","-121.1"
"1555351844762","04/15/19  18:10:44.762   ","5.53","85.5","4.245","18.5","2.2","2.262","100","20.75","5.46","2.22","3.32","1.8","0.44","0.93","0.35","0","0.24","0","0.29","0.22","0","0","0","86.5","-79.6","-80.9","-91.1","84.5","-144.2","-52.6","104.1","-8.7","119.7","34.9","-38.2","31.8","0","0","-93.9","0"
"1555351845750","04/15/19  18:10:45.750   ","5.52","86.1","4.187","20.8","2.2","2.228","100","20.07","5.73","1.65","2.98","2.44","0.91","0.91","0.44","0.27","0.25","0","0.47","0","0","0","0.29","84.4","176.5","-42.5","122.5","84.4","176.5","-42.5","122.5","1.4","66.9","70.5","-78.9","-33.2","26.4","137.8","0","0"
"1555351846559","04/15/19  18:10:46.559   ","5.49","86.5","4.227","20.5","2.2","2.404","100","19.41","2.11","0.83","4.27","1.38","0.7","0.72","0.22","0.22","0.25","0.24","0","0","0","0","0","86.2","-32.2","-57","-71.9","86.3","-91.1","-84.4","-79.8","-14.3","177","24.6","2.2","-136.6","89.5","0","0","-90.4"
"1555351847746","04/15/19  18:10:47.746   ","5.59","84.3","4.185","21.5","2.3","2.448","100","19.07","3.41","1.62","3.55","1.65","0.58","0.78","0.57","0.28","0","0","0","0","0","0","0","85.8","106.1","-69","126","84.7","43.3","-14.6","-134.4","-3.6","-44.7","23.5","132.9","0","0","-169.7","158","0"
"1555351848751","04/15/19  18:10:48.751   ","5.38","86","4.203","22.1","2.1","2.183","100","19.43","1.76","0.75","3.23","1.81","0.9","0.65","0.55","0.23","0.21","0.22","0.33","0","0.21","0","0.22","84.9","12.5","-34.6","-74","86.4","-47.5","-65","-79.9","-2.8","-151.6","74.5","70.1","-91.6","124","69.2","0","-32.4"
"1555351849536","04/15/19  18:10:49.536   ","5.34","85.3","4.183","21.2","2.3","2.253","100","19.14","3.28","1.61","3.58","1.58","0.53","0.8","0.52","0.25","0","0","0","0","0","0","0","85.9","109.6","-68.5","123.2","84.9","48","-18.8","-139.8","-2.6","-38.3","28.3","135.7","0","-77.6","-162","167.7","0"
"1555351850773","04/15/19  18:10:50.773   ","5.47","85.8","4.178","19.1","2.2","2.26","100","20.75","6.11","2.08","2.88","2.31","0.64","0.88","0.42","0.21","0.27","0","0.39","0.21","0","0","0.23","85.8","-98","-85.2","-64","84","-162","-41.7","112.2","-9.4","106.8","31.6","-55.6","11","0","0","0","0"
"1555351851759","04/15/19  18:10:51.759   ","5.42","86.3","4.145","20.8","2.2","2.222","100","19.87","5.58","1.54","2.9","2.39","0.98","0.92","0.51","0.27","0.23","0","0.45","0","0","0","0.29","84.5","-120.7","-85.5","-11.9","84.2","174.8","-43.2","121.8","2.6","66.5","65.6","-81.9","-36.4","25.3","151.4","0","0"
"1555351852614","04/15/19  18:10:52.614   ","5.4","84.2","4.138","20.4","2.2","2.262","100","20.74","5.82","2.2","3.08","1.91","0.51","0.92","0.39","0","0.26","0","0.31","0.23","0","0","0","86.1","-81.2","-81.4","-91","84","-144.2","-53","96.3","-8.3","118.3","38","-39.2","31.8","0","0","-58.5","0"
"1555351853759","04/15/19  18:10:53.759   ","5.47","83.9","4.114","20.3","2.3","2.33","100","18.81","2.12","1.07","3.44","1.41","0.5","0.8","0.42","0","0.21","0.2","0","0","0","0","0.22","85.1","133.9","-57.7","120.9","85.3","74.1","-58.5","151.3","-6.7","-0.7","7.4","174.1","-130","-116.2","-154.8","-150.6","-139"
"1555351854746","04/15/19  18:10:54.746   ","5.47","85.4","4.106","21.2","2.3","2.259","100","19.11","2.94","1.5","3.51","1.48","0.42","0.74","0.5","0.26","0","0","0","0","0","0","0","84.7","58.7","-34.3","-167.4","84.9","-5.2","-43.4","-65.2","-1.9","-118.1","97","112","-7.4","0","0","0","0"
"1555351855622","04/15/19  18:10:55.622   ","5.36","85.5","4.115","21.7","2.2","2.318","100","18.15","1.12","0","3.49","1.55","0.94","0.89","0.24","0","0","0.21","0","0","0","0","0.21","85.6","104.5","-69.5","126","84.4","43.2","-16.3","-132.8","-4.6","-47.5","26.1","134.7","0","0","-170.6","157.7","0"
"1555351856765","04/15/19  18:10:56.765   ","5.31","84.4","4.144","19.9","2.1","2.215","100","19.19","2.18","0.75","4.25","1.46","0.75","0.69","0","0.26","0.29","0.23","0","0","0","0","0","85.4","-29.2","-55.3","-71.1","85.8","-86.7","-82.8","-81.7","-13.6","-178.1","25.3","10.5","-129.5","85.5","0","0","-83"
"1555351857748","04/15/19  18:10:57.748   ","5.33","84.2","4.129","19.5","2.2","2.237","100","19.43","2.7","1.01","4.08","1.29","0.54","0.74","0.3","0","0.21","0","0","0","0","0","0","85.6","-37.8","-60.1","-75","85.5","-95.1","-85.2","-71.9","-14.1","172.4","27.5","-3","-145.7","82.2","0","0","-94.6"
"1555351858615","04/15/19  18:10:58.615   ","5.36","85.9","4.121","19.4","2.1","2.174","100","19.48","1.9","0.68","3.27","1.81","0.91","0.68","0.57","0.22","0.22","0.2","0.3","0","0.21","0","0","84.4","14.6","-35.4","-73.4","85.9","-44","-63.6","-78.5","-2.3","-149.1","81","74.1","-79.6","0","70.4","0","-28.9"
