"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"1558527012474","05/22/19  12:10:12.474   ","16","-135.3","5.354","7","2.2","2.053","100","5.56","3.2","0.27","1.6","0.54","0.65","0.31","2.59","0","0.74","0","0","0","0","0","0.51","-135.2","-23.9","-62.2","-52.9","-28.7","2.8","38.9","87.7","-104","0","-164.9","0","0","0","0","-120.6","-170"
"1558527013213","05/22/19  12:10:13.213   ","16","-135.2","5.318","7.2","2.3","1.981","100","5.82","1.73","0.4","1.83","0.37","0.94","0.39","2.27","0","0.94","0","0","0","0","0","0.61","-134.9","118","-48.1","126.4","-22.5","152.3","13.3","-117.7","-105.7","0","-163.6","0","0","0","0","-120.7","177.6"
"1558527014459","05/22/19  12:10:14.459   ","15.99","-135.2","5.347","7","2.3","2.041","100","5.58","3.14","0.31","1.71","0.58","0.63","0.27","2.52","0","0.8","0","0","0","0","0","0.49","-135.1","-24","-61","-55.5","-26","7.6","42.8","69","-105","0","-169.4","0","0","0","0","-120.7","-179.8"
"1558527015211","05/22/19  12:10:15.211   ","16.03","-135.3","5.323","7.4","2.4","1.986","100","5.83","1.79","0.39","1.68","0.36","0.84","0.35","2.4","0","0.77","0","0","0","0","0","0.56","-135","123.1","-48.6","121.3","-22.5","159.8","11.9","-107.2","-101.9","0","-166.3","0","0","0","0","-120.7","176.5"
"1558527016448","05/22/19  12:10:16.448   ","15.99","-135.4","5.355","6.8","2.2","2.035","100","5.48","3.11","0.25","1.6","0.62","0.62","0.27","2.55","0","0.77","0","0","0","0","0","0.59","-135.2","-21.9","-62.5","0","-28.8","13","39.4","74.8","-103","0","-156.7","0","0","0","0","-120.7","177.4"
"1558527017223","05/22/19  12:10:17.223   ","15.99","-135.3","5.314","7.4","2.4","1.985","100","5.86","1.83","0.49","1.61","0.36","0.84","0.37","2.59","0","0.75","0","0","0","0","0","0.53","-134.9","127.6","-50","132.4","-23.3","173.8","17.2","-100.6","-101.6","0","-162.4","0","0","0","0","-120.6","177.5"
"1558527018466","05/22/19  12:10:18.466   ","15.95","-135.4","5.337","7","2.3","2.027","100","5.67","3.03","0.34","1.74","0.53","0.6","0.38","2.49","0","0.75","0","0","0","0","0","0.56","-135.3","-11.9","-62.1","-96.4","-26.8","5.8","20.4","91.6","-100.4","0","-162.3","0","0","0","0","-120.7","175.4"
"1558527019218","05/22/19  12:10:19.218   ","16","-135.4","5.312","7.4","2.4","2.016","100","5.73","1.97","0.43","1.54","0.43","0.71","0.32","2.46","0","0.71","0","0","0","0","0","0.49","-135","136.1","-52.1","125.1","-25.3","179.3","18.2","-94.8","-100.9","0","-156.9","0","0","0","0","-120.7","-178.4"
"1558527020466","05/22/19  12:10:20.466   ","15.97","-135.4","5.327","6.9","2.2","2.019","100","5.54","2.88","0","1.83","0.56","0.67","0.41","2.53","0","0.78","0","0","0","0","0","0.6","-135.2","-2.1","-60.7","-107.2","-25.4","16.8","2.1","104.7","-100.3","0","-164.1","0","0","0","0","-120.7","173.9"
"1558527021212","05/22/19  12:10:21.212   ","16.03","-135.4","5.312","7.4","2.4","2.027","100","5.7","2.08","0.39","1.48","0.52","0.64","0.33","2.57","0","0.71","0","0","0","0","0","0.51","-135.1","142.1","-55.5","126.4","-25.5","-173","26.9","-93.1","-102.7","0","-162.3","0","0","0","0","-120.7","173.5"
"1558527022464","05/22/19  12:10:22.464   ","15.97","-135.4","5.318","7","2.3","2.004","100","5.92","1.79","0.43","1.69","0.29","0.85","0.38","2.43","0","0.76","0","0","0","0","0","0.51","-135.2","8.7","-58.2","-95.8","-23.3","25.6","-2.4","101.9","-98.5","0","-169","0","0","0","0","-120.7","178.9"
