FIND_KEY,HarmChannels,DoubleTimeStart
102,119,1.5530039539610000e+12
103,119,1.5530039559560000e+12
104,119,1.5530039579570000e+12
105,119,1.5530039601700000e+12
106,119,1.5530039619520000e+12
107,119,1.5530039724770000e+12
108,119,1.5530039744790000e+12
109,119,1.5530039766930000e+12
110,119,1.5530039785730000e+12
111,119,1.5530039805820000e+12
112,119,1.5530039836360000e+12
113,119,1.5530039854810000e+12
114,119,1.5530039875990000e+12
115,119,1.5530039894690000e+12
116,119,1.5530039915220000e+12
117,119,1.5530039946560000e+12
118,119,1.5530039975960000e+12
119,119,1.5530039997670000e+12
120,119,1.5530040026330000e+12
121,119,1.5530040044990000e+12
122,119,1.5530040066040000e+12
123,119,1.5530040094750000e+12
124,119,1.5530040114740000e+12
125,119,1.5530040135070000e+12
126,119,1.5530040155820000e+12
127,119,1.5530040175950000e+12
128,119,1.5530040195260000e+12
129,119,1.5530040215710000e+12
130,119,1.5530040235790000e+12
131,119,1.5530040255400000e+12
132,119,1.5530040276560000e+12
133,119,1.5530040295030000e+12
134,119,1.5530040465730000e+12
135,119,1.5530042388470000e+12
136,119,1.5530042418530000e+12
137,119,1.5530042448580000e+12
138,119,1.5530042478550000e+12
139,119,1.5530042508580000e+12
140,119,1.5530042538620000e+12
141,119,1.5530042569410000e+12
142,119,1.5530042601840000e+12
143,119,1.5530042628440000e+12
144,119,1.5530042658420000e+12
145,119,1.5530042688450000e+12
146,119,1.5530042718410000e+12
147,119,1.5530042748610000e+12
148,119,1.5530042768500000e+12
149,119,1.5530042798560000e+12
150,119,1.5530042828550000e+12
151,119,1.5530042859460000e+12
152,119,1.5530042889080000e+12
153,119,1.5530042919920000e+12
154,119,1.5530042948490000e+12
155,119,1.5530042970200000e+12
156,119,1.5530042988910000e+12
157,119,1.5530043048570000e+12
158,119,1.5530043078520000e+12
159,119,1.5530043108520000e+12
160,119,1.5530043138570000e+12
161,119,1.5530043168560000e+12
162,119,1.5530043198970000e+12
163,119,1.5530043229760000e+12
164,119,1.5530043259070000e+12
165,119,1.5530043289980000e+12
166,119,1.5530043348500000e+12
167,119,1.5530043378580000e+12
168,119,1.5530043408560000e+12
169,119,1.5530043438500000e+12
170,119,1.5530043609440000e+12
171,119,1.5530043648540000e+12
172,119,1.5530043688990000e+12
173,119,1.5530043728450000e+12
174,119,1.5530043768550000e+12
175,119,1.5530043788490000e+12
176,119,1.5530043819450000e+12
177,119,1.5530043869860000e+12
178,119,1.5530043910620000e+12
