DoubleTime,StringTime,V1,V1:1,V2,I1 %HD03,I1 %HD05,I1 %HD07,I1,I2,I3,I1 Ang,I2 Ang,I3 Ang,kW L1,kW L2,kW L3,kvar L1,kvar L2,kvar L3,PF L1,PF L2,PF L3,I1 THD,I2 THD,I3 THD,I2 %HD03,I2 %HD05,I2 %HD07,I PSEQ,I NSEQ,I ZSEQ,I1 TDD,I2 TDD,I3 TDD,I1 KF,I2 KF,I3 KF,I3 %HD03,I3 %HD05,I3 %HD07,In
0,,12,12,268,540,1052,1564,780,1036,1292,35856,36112,36368,1548,1804,2060,2316,2572,2828,3852,4108,4364,5388,5644,5900,541,1053,1565,34072,34328,34584,6924,7180,7436,6156,6412,6668,542,1054,1566,277
1.58711E+12,04/17/20  07:39:04.899,231,231,231,0,0,0,0,1,0,0,162.8,0,0,0,0,0,0,0,-0.464,-0.716,-0.518,0,80.9,0,53.13,46.46,31.12,0,0,0,0,1.2,0,1,12.7,1,0,0,0,1
1.58711E+12,04/17/20  07:39:05.468,231,231,231,0,0,0,0,1,0,0,163,0,0,0,0,0,0,0,-0.481,-0.719,-0.519,0,79.8,0,52.09,46.17,30.94,0,0,0,0,1.2,0,1,12.4,1,0,0,0,1
1.58711E+12,04/17/20  07:39:08.881,231,231,231,0,0,0,0,1,0,0,162.9,0,0,0,0,0,0,0,-0.504,-0.722,-0.529,0,81.4,0,53.39,46.68,31.07,0,0,0,0,1.2,0,1,12.8,1,0,0,0,1
1.58711E+12,04/17/20  07:39:12.983,231,231,231,0,0,0,0,1,0,0,162.6,0,0,0,0,0,0,0,-0.425,-0.717,-0.49,0,81.6,0,53.31,46.48,31.46,0,0,0,0,1.2,0,1,12.8,1,0,0,0,1
1.58711E+12,04/17/20  07:39:14.906,231,231,231,0,0,0,0,1,0,0,162.9,0,0,0,0,0,0,0,-0.458,-0.721,-0.506,0,81.5,0,53.32,46.28,31.13,0,0,0,0,1.2,0,1,12.4,1,0,0,0,1
1.58711E+12,04/17/20  07:39:17.466,231,231,231,0,0,0,0,1,0,0,162.5,0,0,0,0,0,0,0,-0.469,-0.722,-0.539,0,80.5,0,53.47,45.91,31.02,0,0,0,0,1.2,0,1,12,1,0,0,0,1
1.58711E+12,04/17/20  07:39:20.901,231,231,231,0,0,0,0,1,0,0,162.2,0,0,0,0,0,0,0,-0.47,-0.725,-0.541,0,80.2,0,52.8,46.11,31.15,0,0,0,0,1.2,0,1,12.5,1,0,0,0,1
1.58711E+12,04/17/20  07:39:23.565,231,231,231,0,0,0,0,1,0,0,162.8,0,0,0,0,0,0,0,-0.482,-0.724,-0.511,0,80.8,0,53.39,46.21,31.22,0,0,0,0,1.2,0,1,12.2,1,0,0,0,1
1.58711E+12,04/17/20  07:39:26.917,231,231,230,0,0,0,0,1,0,0,162.3,0,0,0,0,0,0,0,-0.488,-0.721,-0.535,0,80.4,0,53.04,46.31,31.12,0,0,0,0,1.2,0,1,12.5,1,0,0,0,1
