"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558528032235","05/22/19  12:27:12.235   ","0.43","62.8","0.247","34.2","0.3","0.226","100","3.33","32.09","1.28","10.19","0.64","3","0.2","3.28","0.2","1.11","0.2","1.32","0.4","0.64","0.23","0.63","62.9","-20.2","-71.9","-128.5","62.9","-20.2","-71.9","-128.5","-173.8","99.1","-6.8","119.5","-70.3","143.7","26.2","119.5","54.3"
"1558528033499","05/22/19  12:27:13.499   ","0.44","62.9","0.248","33.9","0.3","0.224","100","3.35","32.36","1.38","10.27","0.85","3.05","0","3.22","0","0.99","0.42","1.06","0","0.38","0.37","0.61","62.5","-15.2","-73.5","-131.7","62.5","-15.2","-73.5","-131.7","-175.9","76.8","-3.2","-149.8","-66.6","0","20.2","119.4","33.8"
"1558528034242","05/22/19  12:27:14.242   ","0.43","62.9","0.249","34.3","0.3","0.226","100","3.32","32.2","1.34","10.53","0.61","3","0","3.41","0.24","1","0.24","1.26","0.34","0.49","0.29","0.42","62.8","-15.8","-72.6","-137.4","62.8","-15.8","-72.6","-137.4","-173.9","117.1","-4.1","0","-68.7","-152.6","35.1","119.5","62"
"1558528035511","05/22/19  12:27:15.511   ","0.43","62.7","0.249","34.3","0.3","0.222","100","2.82","31.71","1.18","9.93","0.65","2.58","0","3.27","0.5","1.59","0.35","0.93","0.29","0.51","0","0.71","62.7","-13.7","-72.7","-128.4","62.7","-9.8","-72.4","-132.1","-173.8","119.8","-0.8","0","-66.8","-173.1","29.9","119.6","31.5"
"1558528036241","05/22/19  12:27:16.241   ","0.43","62.6","0.247","33.9","0.3","0.225","100","2.81","31.73","0.89","10.17","0.43","2.5","0","3.22","0.36","1.45","0.33","1.18","0","0.43","0.3","0.41","62.8","-12.5","-72.8","-126.6","62.8","-12.5","-72.8","-126.6","-173.1","135.1","-6.2","0","-64.9","-172.8","31.1","119.5","45.7"
"1558528037563","05/22/19  12:27:17.563   ","0.43","62.7","0.247","33.7","0.3","0.223","100","2.79","31.91","1.2","10.11","0.44","2.7","0","2.87","0.33","1.46","0","1.02","0.27","0.7","0","0.26","62.8","-12.1","-72.2","-139.8","62.8","-12.1","-72.2","-139.8","-175","0","-9.3","0","-71.7","-149.9","25.2","119.6","54.1"
"1558528038241","05/22/19  12:27:18.241   ","0.43","62.7","0.248","34.1","0.3","0.224","100","2.94","31.85","1.13","9.97","0.64","2.38","0","3.65","0","1.44","0","1.02","0.23","0.6","0.23","0.62","62.6","-16.1","-72.7","-137.1","62.6","-16.1","-72.7","-137.1","-173.9","108.1","-4.5","0","-66.8","0","39.2","119.6","30.2"
"1558528039512","05/22/19  12:27:19.512   ","0.43","62.8","0.247","34","0.3","0.225","100","2.74","31.97","1.25","10.07","0.53","2.37","0.24","3.17","0.65","1.44","0","1.23","0.23","0.5","0.26","0.86","62.7","-16.9","-72.8","-124.6","62.9","-13.5","-72","-116.7","-172.1","121.1","-4.5","54.8","-63.8","161","38","119.6","30"
"1558528040241","05/22/19  12:27:20.241   ","0.43","62.7","0.249","34","0.3","0.225","100","3.11","31.95","1.14","10.17","0.4","2.38","0.31","3.37","0.47","1.29","0","1.13","0.29","0.79","0.34","0.74","62.8","-11.4","-72.2","-123.9","62.8","-11.4","-72.2","-123.9","-174.3","99.5","-4.8","54.7","-66.1","149.9","26.5","119.6","31.4"
"1558528041510","05/22/19  12:27:21.510   ","0.44","62.6","0.249","34.1","0.3","0.227","100","2.88","32.1","1.29","10.21","0.84","2.38","0.26","3.32","0.35","1.38","0.28","0.85","0.31","0.6","0.2","0.52","62.6","-18.2","-72.9","-122.6","62.8","-13.6","-71.9","-123.4","-172.5","107.3","-0.9","0","-67.6","0","35.5","119.6","48.2"
"1558528042230","05/22/19  12:27:22.230   ","0.43","62.9","0.249","34","0.3","0.224","100","3.75","32.08","1.54","10.21","0.82","2.57","0.38","2.78","0.21","1.42","0.27","1.25","0.23","0.49","0.51","0.36","62.8","-13.6","-72.4","-116.5","62.8","-13.6","-72.4","-116.5","-174.7","119.3","-14","25.9","-68.7","-106.3","25.7","119.5","43.7"
