"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558525381495","05/22/19  11:43:01.495   ","4.93","83.7","2.967","20.1","1.9","1.779","100","18.35","0.52","1.26","3.02","1.12","0.3","0.82","0.43","0","0.39","0","0.21","0","0","0","0.2","84","31.1","29.1","-127.6","84.5","-23.6","-45.7","-70.6","-11.9","-129.6","131.1","88","-53.7","0","118.6","119.5","0"
"1558525382224","05/22/19  11:43:02.224   ","4.87","83.9","2.951","19.1","1.9","1.657","100","19.52","4.29","1.53","1.77","1.11","0.3","0.72","0.37","0.23","0.27","0","0.3","0","0","0","0","84.5","173.4","-52.8","111.5","86.2","115.9","-81.1","130.2","-4.7","28.9","50.4","-144.3","-96.5","0","65.7","119.4","0"
"1558525383513","05/22/19  11:43:03.513   ","4.96","83.7","2.979","19.9","1.8","1.784","100","18.62","0.58","1.26","2.98","1.16","0.28","0.88","0.45","0","0.36","0","0","0","0","0","0","84","26.5","-1.5","-119.1","84.6","-28.7","-48.5","-68.8","-14.8","-133.1","129.6","78.3","-61.1","0","109.9","119.5","0"
"1558525384229","05/22/19  11:43:04.229   ","4.88","83.9","2.956","19","1.9","1.655","100","19.26","4.55","1.57","1.78","1.18","0.34","0.75","0.37","0.22","0.33","0","0.21","0","0","0","0","84.7","170.5","-53.6","112.2","86.2","112.3","-83.7","140","-4.6","27.9","48.6","-143.9","-99","0","64.4","119.5","0"
"1558525385526","05/22/19  11:43:05.526   ","4.97","83.9","2.972","20.2","1.8","1.775","100","19","0.86","1.29","2.94","1.21","0","0.9","0.47","0","0.37","0.2","0.23","0.2","0","0","0","84.6","-32.5","-51.6","-66.7","84.6","-32.5","-51.6","-66.7","-15.6","-137.3","118.3","76.5","-69.2","0","107","119.4","0"
"1558525386214","05/22/19  11:43:06.214   ","4.89","83.7","2.951","18.9","1.9","1.658","100","19.47","4.83","1.61","1.84","1.3","0.34","0.74","0.41","0.23","0.25","0","0.26","0","0","0","0","84.8","166.4","-55.2","111.2","84.8","166.4","-55.2","111.2","3.7","61.9","170.6","-79.1","-33.6","39.6","85.6","119.4","0"
"1558525387490","05/22/19  11:43:07.490   ","4.98","83.9","2.97","20","1.9","1.794","100","19","0.87","1.31","2.78","1.16","0.2","0.88","0.45","0","0.38","0.2","0.26","0","0","0","0","84.1","20.6","-17.3","-105","84.7","-36","-52.8","-64.8","-15.4","-139","119","70.7","-71.4","0","102.5","119.4","0"
"1558525388249","05/22/19  11:43:08.249   ","4.98","83.7","2.958","20.4","2","1.68","100","19.59","4.84","1.62","1.8","1.33","0.39","0.72","0.39","0.24","0.28","0","0.22","0","0","0","0","86.2","106.3","-88.1","151.7","86.2","106.3","-88.1","151.7","-11.7","21.7","23","-154.4","-103.4","0","0","119.4","0"
"1558525389574","05/22/19  11:43:09.574   ","4.92","86","2.989","18.5","1.9","1.695","100","19.41","4.21","1.35","2.06","1.83","0.64","0.59","0.81","0","0.36","0","0.36","0","0.22","0","0","84.7","-38","-54.8","-63.5","84.9","-96.8","-74.7","11.1","-40.6","-171.8","-21.6","-6.3","-138.3","0","0","119.5","116.8"
"1558525390380","05/22/19  11:43:10.380   ","4.82","86.2","2.983","18.9","1.8","1.774","100","18.06","0.36","1.38","2.51","1.24","0.76","0.88","0.32","0","0.42","0","0","0","0","0","0","84.4","47.9","143.1","-146.3","84.1","-8.6","-36.3","-75","-16.4","-110.2","144.1","105.2","-37.2","0","117.2","119.4","36.1"
"1558525391640","05/22/19  11:43:11.640   ","4.8","85.6","3.009","19.3","1.9","1.695","100","19.33","4.23","1.45","2.06","1.81","0.63","0.61","0.72","0","0.32","0.21","0.35","0","0.2","0","0","84.9","-96.3","-75","10.5","83.6","-155.9","-41.6","69.7","-21.9","110.2","0","-42.8","43.3","0","98.5","119.4","50.2"
"1558525392324","05/22/19  11:43:12.324   ","4.84","84.9","2.979","18.7","1.8","1.748","100","18.04","3.85","0.44","2.16","1.97","0.48","0.89","0.59","0","0.2","0","0","0","0","0","0","84.5","49.3","161.9","-146.3","84.5","49.3","161.9","-146.3","-14.9","-38.2","120.1","146.3","-17.5","0","144.8","119.3","0"
"1558525393661","05/22/19  11:43:13.661   ","4.8","85.7","2.987","19.1","1.9","1.7","100","18.15","2.63","0.91","1.92","1.57","0.3","0.92","0.39","0","0","0.21","0","0","0","0","0.21","84.9","-94.7","-75.4","11.4","83.6","-154.9","-41.7","63.7","-21.8","113.1","0","-46.3","45.9","0","96.9","119.4","47.7"
"1558525394373","05/22/19  11:43:14.373   ","4.84","86.1","2.972","19","1.8","1.774","100","18.08","0.4","1.38","2.32","1.22","0.7","0.87","0.3","0","0.41","0.22","0","0","0","0","0","84.6","51.1","170.2","-145.7","84.6","51.1","170.2","-145.7","-14.2","-36","126.8","144.7","-29.8","0","146.7","119.4","28.5"
"1558525395481","05/22/19  11:43:15.481   ","4.97","83.9","2.96","20.2","1.9","1.797","100","17.88","2.4","0.7","1.97","1.72","0","0.74","0.35","0","0","0.21","0","0","0","0","0.2","83.9","23","-13.7","-106.7","84.7","-33.1","-52","-64.1","-14.5","-135.9","118.5","73.7","-65.5","0","105","119.5","0"
"1558525396221","05/22/19  11:43:16.221   ","4.88","83.8","2.946","19","2","1.657","100","19.54","4.6","1.66","1.81","1.22","0.28","0.71","0.39","0.21","0.29","0","0.26","0","0","0","0","84.6","167.7","-55.1","109.1","86.1","110.8","-85.2","132.6","-6.7","24.7","34.3","-148.3","-99.8","0","0","119.4","0"
"1558525397482","05/22/19  11:43:17.482   ","4.97","83.8","2.959","20.2","1.9","1.79","100","17.93","2.52","0.71","2.05","1.77","0","0.79","0.47","0","0","0","0","0","0","0","0.21","84","25.3","-3.2","-115.5","84.6","-29.9","-50.5","-67.1","-13.4","-132.5","122.2","77.1","-62.5","0","100.8","119.5","0"
"1558525398223","05/22/19  11:43:18.223   ","4.87","83.7","2.944","19.1","1.9","1.663","100","19.56","4.31","1.55","1.77","1.13","0.33","0.78","0.35","0","0.25","0","0.28","0","0","0","0","84.6","172.2","-53.4","110.8","86.2","115","-83.8","125.3","-3.9","26.4","48.6","-144","-97.2","0","72.7","119.4","-28.2"
