"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555350684528","04/15/19  17:51:24.528   ","4.96","85.1","3.167","18","1.8","1.737","100","19.01","4.09","1.18","4.19","2.38","1.48","0.62","0.74","0.38","0","0.21","0.36","0","0","0.2","0.32","83.1","62.9","-41.8","169.8","83.1","5.2","-37.8","-61","-8.3","-99.9","0","127","-7.5","0","152.3","0","0"
"1555350685532","04/15/19  17:51:25.532   ","4.99","83.4","3.179","19.7","1.9","1.764","100","19.18","4.46","1.34","3.71","2.45","1.18","0.57","0.81","0.34","0","0.24","0.27","0","0","0","0.31","83.7","124.2","-63.4","121.3","83.7","72.8","-56.7","152.3","-9","-1.6","19.7","159.3","-130.3","0","-139.3","0","-127.3"
"1555350686734","04/15/19  17:51:26.734   ","4.88","82.7","3.186","18.4","1.9","1.777","100","18.53","2.17","0.92","3.43","1.74","1.1","0.6","0.53","0","0.2","0","0.29","0","0","0","0.3","82.4","25.2","-25.3","-88.3","83.6","-27.3","-52.4","-64.5","-9","-130.1","102.6","93","-74.8","171.1","126.2","0","21"
"1555350687732","04/15/19  17:51:27.732   ","4.85","83","3.155","20.7","1.9","1.757","100","19.09","4.62","1.8","3.69","2.07","0.85","0.62","0.8","0.29","0","0","0.24","0","0","0","0.25","82.6","39.2","-18.4","-124.9","83.5","-14.9","-46.5","-60.6","-6.8","-119.8","0","109.4","-52.1","-175.2","133.3","121.3","42.2"
"1555350688528","04/15/19  17:51:28.528   ","4.97","83.6","3.13","19.4","1.9","1.824","100","17.85","3.89","0.57","3.39","2.01","0.88","0.76","0.52","0","0","0","0.2","0","0","0","0","82.3","-143","-45","70.1","82.7","162.8","-47.8","125.2","0.3","57.8","64.7","-91.6","-45.4","5.7","0","0","0"
"1555350689754","04/15/19  17:51:29.754   ","5.02","83.4","3.126","18.8","2","1.873","100","18.53","3.51","1.59","3.73","1.56","0.4","0.72","0.49","0.24","0.24","0","0","0","0","0","0","83.8","122.4","-64.6","122.3","83.4","70.6","-55.1","153.6","-9.1","-5","23.4","150.3","-121.6","0","-144.3","0","-134.9"
"1555350690918","04/15/19  17:51:30.918   ","4.87","82.5","3.175","20","1.8","1.75","100","19.1","4.69","1.66","3.69","2.23","0.97","0.6","0.81","0.34","0","0.2","0.26","0","0","0","0.29","83.6","84.5","-68.8","148.2","82.4","26.8","-23.5","-93","-13.2","-73.3","13.4","124.3","14.7","-70.8","159.5","0","0"
"1555350691554","04/15/19  17:51:31.554   ","4.94","82.1","3.128","20","1.9","1.836","100","18.87","3.95","1.55","3.99","1.34","0.28","0.81","0.26","0","0.35","0","0","0","0","0","0","84.1","-44.2","-60.6","-68.1","83.7","-96.6","-78.3","-34.6","-17.4","176.3","6.6","-15.3","-141.6","96.8","0","0","0"
"1555350692747","04/15/19  17:51:32.747   ","4.88","83","3.123","20.5","1.9","1.904","100","19.36","6.12","2.16","3.62","2.18","0.28","0.67","0.53","0.31","0.34","0.25","0.21","0","0","0","0","84","-81.9","-77.6","-67.8","82.2","-135.7","-53.5","51.8","-6.8","118.5","52.2","-42.2","17","0","-179.1","0","0"
"1555350693749","04/15/19  17:51:33.749   ","4.91","83.9","3.173","18.7","2","1.968","100","19.48","5.49","2.09","3.81","1.78","0","0.7","0.36","0.27","0.37","0.24","0","0","0","0","0","84","-64","-71.2","-74.5","82.6","-116","-72","2.1","-8.4","150","84.8","-33.5","0","79.2","-166.8","0","0"
