"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","3945","4201"
"1555349275364","04/15/19  17:27:55.364   ","5.37","-146.6","3.44","20.2","2.1","1.77","100","19.44","2","0.87","3.36","1.1","0.88","0.97","0.47","0","0.4","0","0.26","0.22","0.28","0","0","-147.3","-81.3","-151.9","-14.5","-126.4","-41.4","8.1","20.9","-36.4","0","-142.3","0","159.2","-16.9","31.5","0","0"
"1555349276169","04/15/19  17:27:56.169   ","5.38","-146.3","3.446","19.9","2.1","1.887","100","19.17","2.5","0.91","3.83","1.41","0","1.18","1.01","0.23","0.39","0","0.7","0.25","0.22","0.23","0.39","-147","-4.3","-93.7","-120.6","-123.7","17.3","129.4","94","-77.3","-76.5","-104.2","-176.4","139.3","0","112.7","0","27.8"
"1555349277361","04/15/19  17:27:57.361   ","5.37","-146.8","3.444","20.1","2.1","1.762","100","19.48","1.53","0.55","3.28","1.21","0.65","0.97","0.76","0","0.37","0","0.45","0","0","0","0.22","-147.6","-160.2","-91.6","89.9","-127.2","-146.8","-43.5","-64.1","-71.1","96.6","-148.4","73.5","132.5","0","0","0","0"
"1555349278173","04/15/19  17:27:58.173   ","5.38","-146.7","3.455","20.2","2.2","1.89","100","18.75","3.61","0.6","3.15","2.13","0.99","0.97","0.94","0.28","0.38","0","0.26","0","0.22","0","0.27","-146.7","-29.8","-113.5","-57.5","-135.5","11.2","94.5","65","-92.5","-73.1","-120.1","0","110.2","0","69.5","0","-1.9"
"1555349279359","04/15/19  17:27:59.359   ","5.39","-147.2","3.446","19.6","2.2","1.771","100","19.58","2.17","0.98","3.22","1.59","0","1.06","1.13","0","0.35","0","0.56","0","0","0","0","-147.5","172.6","-109.2","95.4","-116.9","-173.1","144.8","-109","-91.1","121.3","-102.7","-4.8","137","0","0","0","20.1"
"1555349280164","04/15/19  17:28:00.164   ","5.37","-147","3.452","19.9","2.2","1.833","100","18.9","4.76","1.22","2.93","2.15","0","0.77","0.95","0.25","0","0","0.46","0","0.26","0","0.26","-146.6","-56","-138.8","-42.7","-131.9","-0.6","32.6","45.7","-86.9","-130.1","-130.1","0","0","0","63.7","0","0"
"1555349281483","04/15/19  17:28:01.483   ","5.48","-147.4","3.408","20.8","2.2","1.777","100","19.51","0.34","0.24","3.69","1","0.46","1.07","0.54","0","0.38","0","0.51","0.29","0.24","0","0.34","-146.5","85","-49.8","-154.3","-108.7","104.3","22.1","-167.7","4.1","0","-97.9","0","-157.8","163","86.9","0","32.2"
"1555349282167","04/15/19  17:28:02.167   ","5.37","-147.1","3.456","19.6","2.1","1.784","100","18.76","3.72","0.51","3.11","2.13","0.99","0.95","0.96","0.3","0.34","0","0.27","0.23","0.27","0","0.27","-147.2","-84.9","-151","-6.6","-125.2","-49.5","9.5","12.3","-31.8","0","-142.5","0","176.1","-23.7","28.1","0","0"
"1555349283360","04/15/19  17:28:03.360   ","5.48","-147","3.426","19.9","2.2","1.832","100","19.05","3.64","0.94","3.03","2.15","0.78","0.75","0.92","0.3","0.25","0","0.33","0","0.22","0","0.33","-146.2","110.8","-178.2","145.1","-116.3","164.4","49.4","-138.2","0","44.3","-102.4","0","-170.8","-163.9","88.7","0","19.3"
