"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"1555351513518","04/15/19  18:05:13.518   ","8.4","-149.9","3.79","14.8","2.3","2.199","100","10.94","7.5","0.45","3.28","1.08","1.65","0.62","2.59","0","1.64","0","0.62","0","0.36","0","1.6","-149.9","-1.8","-65.1","-100.9","-4.6","11.2","-40","101.5","-93.8","0","-111.9","0","146.4","0","-96.2","0","-148.5"
"1555351514654","04/15/19  18:05:14.654   ","8.36","-149.7","3.805","13.7","2.4","2.271","100","11.25","8.29","0.84","3.23","1.23","1.63","0.47","2.65","0","1.72","0","0.6","0","0.35","0","1.64","-149.5","-42.6","-64.5","-48","-3.2","-4.7","-10.6","68.4","-98.6","0","-114","0","-179.6","0","-86.5","0","-144.9"
"1555351515174","04/15/19  18:05:15.174   ","8.33","-149.7","3.838","14.7","2.5","2.239","100","10.98","8.28","0.65","3.19","1.15","1.23","0.44","2.4","0","1.55","0","0.4","0","0.41","0","1.56","-149.7","-6.3","-65.3","-101.5","-5","6.6","-37.8","93.4","-93.8","0","-111.7","0","153.2","0","-98.8","0","-149.2"
"1555351516580","04/15/19  18:05:16.580   ","8.36","-149.8","3.81","14.1","2.5","2.224","100","11.01","6.32","0.76","2.85","1.12","1.11","0.41","2.63","0","1.63","0","0.67","0","0.34","0","1.56","-149.5","97.7","-52.6","121.9","-4.7","106","-21.7","-137.5","-92.5","0","-118.6","0","170.6","0","-73","0","-145.5"
"1555351517418","04/15/19  18:05:17.418   ","8.37","-149.4","3.846","15","2.4","2.157","100","11.4","6.07","0.63","2.87","0.66","1.78","0.59","2.21","0","1.73","0","0.67","0","0.4","0","1.65","-150.1","-140.5","-58","72.3","-1.5","-133","-27.8","-26.3","-86.5","0","-116.3","0","172.2","0","-97.5","0","-146"
"1555351518517","04/15/19  18:05:18.517   ","8.27","-149.4","3.849","14.7","2.4","2.153","100","11.26","7.36","0.56","3.05","0.99","1.49","0.58","2.38","0","1.71","0","0.66","0","0.49","0","1.58","-150.1","-125.7","-56.7","81.8","-6.9","-125.1","-35.9","-19.2","-86","0","-118","0","171.6","0","-93.5","0","-146"
"1555351519425","04/15/19  18:05:19.425   ","8.26","-149.8","3.845","14.3","2.4","2.278","100","11","8.35","0.7","3.25","1.16","1.42","0.49","2.47","0","1.48","0","0.46","0","0.36","0","1.64","-149.5","-57.4","-63","-45.7","-5","-12.8","-21.1","52","-97.8","0","-114.9","0","165.3","0","-78.2","0","-149.9"
"1555351520512","04/15/19  18:05:20.512   ","8.4","-150.1","3.817","14.5","2.3","2.275","100","11.07","6.61","0.87","2.6","1","1.34","0.68","2.41","0","1.72","0","0.22","0","0.32","0","1.68","-149.4","-44","-64.4","-46.2","-1.4","3.1","-15.3","58.9","-97.7","0","-113.8","0","-174.4","0","-90.3","0","-146.7"
"1555351521421","04/15/19  18:05:21.421   ","8.4","-150","3.791","15","2.3","2.193","100","11.11","6.2","0","3.56","0.8","2.03","0.53","2.35","0","1.83","0","0.42","0","0.38","0","1.68","-149.7","28","-56.1","-69.5","-0.6","48","-32","119.2","-85.7","0","-118.8","0","173.4","0","-90.7","0","-148.3"
"1555351522513","04/15/19  18:05:22.513   ","8.36","-149.4","3.799","14.1","2.3","2.185","100","10.88","7.8","0.46","3.1","1.11","1.55","0.57","2.5","0","1.69","0","0.69","0","0.39","0","1.73","-149.8","43.3","-53.1","-61.7","-6.2","54.5","-31.9","148.1","-84.8","0","-121.8","0","173.6","0","-92.1","0","-150"
