"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"1555346902215","04/15/19  16:48:22.215   ","0.3","-42.1","0.186","43.4","0.3","0.179","100","1.61","39.65","0.35","15.95","0.5","3.83","0.4","1.48","0.37","0.61","0.32","0.75","0.46","0.8","0.56","0.4","-42.5","-75.8","-62.5","-68.6","-68.4","-81","-64.4","174.8","-106.5","-113.6","171.9","131.2","-25.1","-57.2","-157.6","138.8","21.3"
"1555346903383","04/15/19  16:48:23.383   ","0.3","-42.2","0.184","43.6","0.3","0.177","100","1.21","39.81","0.2","15.97","0","3.79","0.38","2.01","0.27","1","0.5","0.95","0.48","0.72","0.42","0.53","-42.1","-88.1","-62.2","-46.7","-68","-134.9","-71.4","-83.4","-109.5","-10.7","-173.2","-172.8","-15.3","-79.3","-171","0","22.4"
"1555346904200","04/15/19  16:48:24.200   ","0.3","-42.4","0.186","43.6","0.3","0.176","100","1.32","39.97","0.83","16.47","0.22","3.65","0.6","1.75","0.43","0.4","0.5","1.17","0","0.53","0.27","0","-42.2","-81.6","-62.1","-70.8","-68.6","81.6","-67.3","-85.3","-105.4","-140.6","148.8","177.4","-24.6","0","-179.6","115.5","0"
"1555346905388","04/15/19  16:48:25.388   ","0.3","-42.4","0.187","43.5","0.3","0.177","100","1.16","40.11","0.32","16.44","0.23","3.67","0","1.63","0","0.5","0.33","1.65","0.42","0.75","0","0","-42.4","-80.3","-62.5","-86","-70.3","-76.8","-63.9","0","-111.6","-107","-178.2","131.5","-43.9","-65.4","-161.1","0","0"
"1555346906200","04/15/19  16:48:26.200   ","0.3","-42.3","0.184","43.1","0.3","0.178","100","0.72","39.61","0.38","16.29","0","3.84","0","1.64","0","0.63","0.45","0.98","0.43","1.3","0","0","-42.3","-109.9","-62.7","-53.3","-68.4","0","-59.1","0","-103.8","0","-173.2","167.5","-41.1","-52.8","179.9","0","0"
"1555346907358","04/15/19  16:48:27.358   ","0.3","-42.5","0.185","43.4","0.3","0.176","100","0.88","39.91","0.25","16.26","0","3.76","0.43","1.67","0.3","0.68","0.25","0.85","0.25","0.65","0.25","0.35","-42.6","-87.1","-62.5","172.4","-68.4","0","-66","61.6","-98.2","-19.7","163.1","146.3","-44.4","-107.4","-165.6","165.3","-93.9"
"1555346908179","04/15/19  16:48:28.179   ","0.3","-42.3","0.185","43.4","0.3","0.176","100","0.65","39.96","0","15.98","0","4","0","1.95","0.35","0.87","0.33","0.83","0.27","1","0.28","0.23","-42.2","-75.6","-62.7","-114.5","-67.1","0","-65","92.4","-98.3","-65.7","179.9","0","-17.9","-83.4","-140","-100.7","-72.1"
"1555346909377","04/15/19  16:48:29.377   ","0.3","-42.3","0.184","43.4","0.3","0.176","100","1.12","39.95","0.35","16.06","0","3.7","0.4","1.88","0.47","0.68","0.3","1.2","0.35","0.73","0.43","0.43","-42.3","-82.4","-62.2","-70.9","-68.1","-120.6","-68.4","0","-105.7","-88.6","156.1","-150.2","-36.5","-71.7","-165.8","0","0"
"1555346910194","04/15/19  16:48:30.194   ","0.3","-42","0.185","43.3","0.3","0.177","100","0.58","39.97","0","16.23","0.23","3.56","0.37","1.99","0.28","0.72","0.33","0.85","0.38","0.87","0.22","0.42","-42.3","-61.1","-62.4","0","-68","-105.4","-69.8","95.2","-102.1","-113.9","-161.3","-94.9","-41","-87.9","-161.7","-160.5","-97"
"1555346911370","04/15/19  16:48:31.370   ","0.3","-42.4","0.184","42.9","0.3","0.178","100","0.5","39.76","0.43","16.32","0","3.44","0.43","1.55","0.5","0.57","0","0.75","0","1","0.22","0.33","-42.4","-52.2","-62.4","-75.2","-68.2","0","-59.8","-148.5","-105.8","-143.2","-156.7","-73.8","-37.3","-123.3","-171","-147.8","0"
"1555346912185","04/15/19  16:48:32.185   ","0.3","-42","0.184","43.2","0.3","0.177","100","0.67","39.99","0","16.52","0","3.75","0.22","1.64","0","0.77","0.22","0.92","0","0.6","0.27","0.38","-42.1","-87.6","-61.7","0","-68.1","0","-65","124.7","-102.8","0","-150.2","64","-45.5","0","-156.8","147.2","-104.9"
"1555346913369","04/15/19  16:48:33.369   ","0.3","-42.3","0.184","43.4","0.3","0.176","100","0.55","40.03","0.37","16.6","0.3","3.68","0","1.99","0.38","0.72","0.22","0.79","0.2","0.92","0.2","0.57","-42.3","-79.3","-62.3","-43.6","-69.8","-158.5","-62.9","173.8","-105.4","-176.2","166.4","174.8","-53","0","-145.1","0","-106.1"
"1555346914183","04/15/19  16:48:34.183   ","0.3","-42.3","0.185","43.1","0.3","0.177","100","0.57","39.53","0.27","16.36","0.22","3.56","0","1.39","0.3","0.92","0.3","0.79","0.28","0.92","0","0","-42.3","-90.9","-62.8","-67","-67.6","99.2","-62.1","0","-88.3","101.2","-165.2","141.4","-38.5","-104.1","-172.8","0","0"
"1555346915365","04/15/19  16:48:35.365   ","0.3","-42.3","0.184","42.9","0.3","0.177","100","0.5","39.6","0.33","16.15","0","3.73","0.32","1.35","0","0.77","0.3","1.29","0.2","0.45","0.42","0.23","-42.2","-108.2","-62.3","-46.8","-67.8","0","-62.2","-126.9","-99.5","81.9","-157","0","-48.8","-88.7","-139.9","-38.4","0"
"1555346916176","04/15/19  16:48:36.176   ","0.3","-42.1","0.186","43.1","0.3","0.178","100","0.8","39.65","0.33","16.13","0.22","3.58","0.3","1.58","0","0.8","0","1.02","0.38","0.6","0.3","0.2","-42.2","-64.3","-62.5","-60.5","-67.8","0","-64.2","113.5","-93.1","-179.6","-159.2","0","-49.2","130.8","176.9","-126.1","0"
